[2025-05-13 15:16:05] Iniciando montaje de OneDrive...
2025/05/13 15:16:06 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:17:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:18:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:19:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:20:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:21:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:22:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:23:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:24:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:25:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:26:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:27:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:28:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:29:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:30:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:31:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:32:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:33:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:34:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:35:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:36:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:37:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:38:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:39:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:40:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:41:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:42:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:43:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:44:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:45:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:46:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:47:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:48:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:49:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:50:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:51:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:52:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:53:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:54:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:55:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:56:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:57:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:58:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 15:59:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:00:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:01:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:02:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:03:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:04:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:05:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:06:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:07:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:08:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:09:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:10:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:11:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:12:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:13:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:14:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:15:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:16:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:17:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 1 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:18:05 INFO  : OneDrive root '': vfs cache RemoveNotInUse (maxAge=3600000000000, emptyOnly=false): item Dejar aqui - en raiz.docx was removed, freed 0 bytes
2025/05/13 16:18:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 1) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:19:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:20:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:21:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:22:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:23:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:24:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:25:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:26:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:27:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:28:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:29:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:30:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:31:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
2025/05/13 16:32:05 INFO  : OneDrive root '': vfs cache: cleaned: objects 0 (was 0) in use 0, to upload 0, uploading 0, total size 0 (was 0)
